%time,field.data
1512000298526428937,2.85569519042
1512000298808645963,2.87539760757
1512000299107836008,2.88978172546
1512000299412638902,2.90182079631
1512000299796302080,2.89163629611
1512000300106966018,2.90158253987
1512000300399849891,2.91540251813
1512000300777179002,2.90731841301
1512000301115863084,2.90902366467
1512000301416018962,2.9196756485
1512000301704530000,2.9325538852
1512000301997045993,2.94394618255
1512000302281043052,2.95672704401
1512000302572792053,2.96725973089
1512000302862731933,2.9777417692
1512000303192565917,2.97949388764
1512000303509453058,2.98399671341
1512000303769730091,2.99978819314
1512000304148871898,2.99111368142
1512000304530247926,2.98224482352
1512000304895665884,2.97694691742
1512000305161645889,2.9904494731
1512000305410799026,3.00634200688
1512000305664473056,3.02105107567
1512000305954267024,3.02882057128
1512000306244055986,3.03635771515
1512000306540399074,3.04265475076
1512000306843420982,3.04750030677
1512000307152396917,3.0511489894
1512000307461555957,3.05475410986
1512000307775147914,3.05742950075
1512000308120255947,3.0549862049
1512000308415982007,3.06056256798
1512000308701033115,3.06752521209
1512000308978251934,3.07538877252
1512000309278325080,3.0798265598
1512000309639713048,3.07438159775
1512000310012761116,3.06788285448
1512000310327027082,3.06990176676
1512000310621066093,3.07491608564
1512000310907098054,3.08078447333
1512000311198304891,3.08573132856
1512000311520601987,3.08633862653
1512000311874911069,3.082750359
1512000312223225116,3.07985432451
1512000312595407962,3.07390885576
1512000312931879043,3.07284481529
1512000313245219945,3.07468394224
1512000313567958116,3.0754275739
1512000313870682954,3.0785868421
1512000314174957036,3.08135660977
1512000314474504947,3.08472623033
1512000314766612052,3.0892468923
1512000315089782953,3.08928661166
1512000315411942005,3.0897992145
1512000315733630895,3.0902570684
1512000316011507034,3.09577472244
1512000316339298009,3.09544100497
1512000316669653892,3.09490681828
1512000316992245912,3.09514875038
1512000317353187084,3.09122077865
1512000317651386976,3.09436612828
1512000317942051887,3.09823071873
1512000318239063024,3.10128909359
1512000318544039011,3.10339914037
1512000318858726978,3.10443336401
1512000319189184904,3.10389121257
1512000319489861965,3.10642458438
1512000319794329881,3.10850236829
